path,target,notes
src/components/pwa-initializer.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/shared/crud-table.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/theme-provider.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/alert-dialog.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/alert.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/avatar.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/badge.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/button.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/card.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/checkbox.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/client-inline-form.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/data-table.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/dialog.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/dropdown-menu.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/includes-editor.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/input.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/label.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/offline-banner.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/progress.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/scroll-area.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/select.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/separator.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/sheet.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/sonner.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/switch.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/tabs.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/ui/textarea.tsx,web,UI/components (adapt to web or mobile patterns)
src/components/upgrade-prompt.tsx,web,UI/components (adapt to web or mobile patterns)
src/hooks/crud.ts,web,React hook (likely web)
src/hooks/use-camera.tsx,mobile,Capacitor/PWA-oriented hook
src/hooks/use-clients.ts,web,React hook (likely web)
src/hooks/use-inspection.ts,web,React hook (likely web)
src/hooks/use-inspections.ts,web,React hook (likely web)
src/hooks/use-location.tsx,mobile,Capacitor/PWA-oriented hook
src/hooks/use-network.tsx,mobile,Capacitor/PWA-oriented hook
src/hooks/use-offline-storage.tsx,mobile,Capacitor/PWA-oriented hook
src/hooks/use-platform.tsx,mobile,Capacitor/PWA-oriented hook
src/hooks/use-pull-to-refresh.ts,mobile,Capacitor/PWA-oriented hook
src/hooks/use-service-worker.tsx,mobile,Capacitor/PWA-oriented hook
src/hooks/use-services.ts,web,React hook (likely web)
src/hooks/use-subscription.tsx,web,React hook (likely web)
src/hooks/use-team.ts,web,React hook (likely web)
src/lib/api/idempotency.ts,api,server-side lib
src/lib/auth.ts,web,Next.js auth/middleware
src/lib/constants/mock-users.ts,shared,shared lib/utility
src/lib/constants/property-options.ts,shared,shared lib/utility
src/lib/db.ts,api,server-side lib
src/lib/env.server.ts,api,server-side lib
src/lib/env.ts,shared,shared lib/utility
src/lib/id-generator.ts,shared,shared lib/utility
src/lib/mock-data.ts,shared,shared lib/utility
src/lib/mock/clients.ts,shared,shared lib/utility
src/lib/mock/inspections.ts,shared,shared lib/utility
src/lib/mock/services.ts,shared,shared lib/utility
src/lib/mock/team.ts,shared,shared lib/utility
src/lib/outbox.ts,shared,shared lib/utility
src/lib/permissions.ts,shared,shared lib/utility
src/lib/subscription.ts,api,server-side lib
src/lib/team-member-id.ts,shared,shared lib/utility
src/lib/utils.ts,shared,shared lib/utility
src/lib/utils/address.ts,shared,shared lib/utility
src/lib/utils/dates.ts,shared,shared lib/utility
src/lib/utils/errors.ts,shared,shared lib/utility
src/lib/utils/formatters.ts,shared,shared lib/utility
src/lib/utils/pricing.ts,shared,shared lib/utility
src/lib/validations/inspection.ts,shared,shared lib/utility
src/middleware.ts,shared,needs review
src/services/app-state.ts,mobile,Capacitor service
src/services/biometrics.ts,mobile,Capacitor service
src/services/camera.ts,mobile,Capacitor service
src/services/geolocation.ts,mobile,Capacitor service
src/services/haptics.ts,mobile,Capacitor service
src/services/index.ts,mobile,Capacitor service
src/services/network.ts,mobile,Capacitor service
src/services/push.ts,mobile,Capacitor service
src/services/storage.ts,mobile,Capacitor service
src/stores/ui-store.ts,shared,needs review
src/types/inspection.ts,shared,shared types
src/types/next-auth.d.ts,shared,shared types
src/types/service.ts,shared,shared types
tsconfig.json,shared,repo config
tsconfig.tsbuildinfo,shared,needs review
